id  | recipe_id | step|  detail_en                                                                                                           | detail_fr
1   | 1         | 1   | Slice the baguette in pieces                                                                                         | Couper la baguette en tranche, sans aller jusqu'au bout (les tranches de pain doivent être jointes sur 2 cm environ)
2   | 1         | 2   | Chop the garlic and the parsley                                                                                      | Hacher les gousses d'ail avec le persil
3   | 1         | 3   | Slightly melt the butter (just to soften it a little)                                                                | Faire fondre légèrement le beurre (il faut juste qu'il soit mou)
4   | 1         | 4   | Mix the butter, the garlic and the parsley together                                                                  | Mélanger le beurre, l'ail et le persil, pour former une pâte homogène
5   | 1         | 5   | Spread out the mixture on both sides of the bread                                                                    | Etaler des morceaux de ce mélange, entre les tranches de pain (des 2 côtés de chaque tranche)
6   | 1         | 6   | Put in the oven at 180 °C                                                                                            | Mettre au four à 180°C
7   | 2         | 1   | Slice the shallot                                                                                                    | Coupez l'échalote en tout petits morceaux
8   | 2         | 2   | In a mixing bowl, crumble the tuna add add the shallot. Pour some lemon juice, then add the St Moret                 | Dans un grand bol, émiettez le thon et ajoutez l'échalote. Arrosez avec le jus de citron, puis ajoutez le St Moret
9   | 2         | 3   | Mix everything, then add a drop of tabasco and salt                                                                  | Bien mélanger, versez ensuite quelques gouttes de Tabasco et salez légèrement
10  | 2         | 4   | Put the result in the fridge to cool it down. You can serve it with bread                                            | Mettre au frais pendant que vous faites griller des tartines de pain de mie que vous coupez en 4. Mettez des fourchettes dans le bol, et servez l'apéro !
11  | 3         | 1   | Put butter on the bread (on 1 side only). Add cheese on top of the other side of the bread. Add ham.                 | Beurrez les 8 tranches de pain de mie sur une seule face. Posez 1 tranche de fromage sur chaque tranche de pain de mie
12  | 3         | 2   | In a bowl, mix the grated cheese with the milk. Add some salt, pepper and nutmeg                                     | Dans un bol mélanger le fromage râpé avec le lait, le sel, le poivre et la muscade
13  | 3         | 3   | Spread out the mixture on the 'croque-monsieur'                                                                      | Répartissez le mélange sur les croque-monsieur
14  | 3         | 4   | Put the 'croque-monsieur' in the oven for 10 minutes (grill mode)                                                    | Placez sur une plaque au four sous le grill pendant 10 min.
15  | 4         | 1   | Peel and slice the apples                                                                                            | Pelez et coupez les pommes en fines tranches
16  | 4         | 2   | In a mixing bowl, mix the sugar, the eggs and the vanilla sugar                                                      | Dans un saladier, mélangez le sucre, les oeufs, le sucre vanillé
17  | 4         | 3   | The sour cream                                                                                                       | la crème fraîche
18  | 4         | 4   | Put the dough in the pie pan and pierce the bottom with a fork. Spread out the apples on the dough.                  | Etalez la pâte dans un moule à tarte et piquez le fond à l'aide d'une fourchette. Disposez les pommes sur la pâte et versez le tout sur les pommes (ou versez uniquement la crème)
19  | 4         | 5   | Then ann the rest of your apples in a rose shape                                                                     | Puis disposer les lamelles de pommes roulées sur elles-même en roses
20  | 4         | 6   | In the oven for approx. 30 minutes (until the dough has a golden color)                                              | Enfournez environ 30 minutes, jusqu'à ce que la tarte prenne une belle couleur dorée
21  | 5         | 1   | Preheat the oven (180 °C). In a pan, melt the chocolate and the butter (low temperature)                             | Préchauffez votre four à 180°C (thermostat 6). Dans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux
22  | 5         | 2   | In a mixing bowl, add the sugar, the eggs, the flour. Mix                                                            | Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez
23  | 5         | 3   | Add the mixture chocolate/butter. Mix thoroughly                                                                     | Ajoutez le mélange chocolat/beurre. Mélangez bien
24  | 5         | 4   | Spread out some butter and flour at the bottom of the pie pan. Pour the mixture                                      | Beurrez et farinez votre moule puis y versez la pâte à gâteau
25  | 5         | 5   | In the oven for approx. 20 minutes                                                                                   | Faites cuire au four environ 20 minutes
26  | 6         | 1   | Break down the chocolate into small nuggets                                                                          | Détailler le chocolat en pépites
27  | 6         | 2   | Preheat the oven at 180 °C. In a mixing bowl, pour 75g of butter, the sugar, the egg and the vanilla. Mix everything | Préchauffer le four à 180°C (thermostat 6). Dans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout
28  | 6         | 3   | Add, little by little, the flour, the yeast, the salt and the chocolate                                              | Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat
29  | 6         | 4   | Put some butter at the bottom of a pan and shape some cookies on top of it                                           | Beurrer une plaque allant au four et former les cookies sur la plaque
30  | 6         | 5   | To shape the cookies, use 2 coffee spoons. Don't put the cookies too close from one another                          | Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson
31  | 6         | 6   | In the oven for 10 minutes                                                                                           | Enfourner pour 10 minutes de cuisson
32  | 7         | 1   | Preheat the oven at 180 °C. Mix all the ingredients together regarding the following order : yeast                   | Préchauffer le four à 180°C (thermostat 6). Mélanger tout simplement les ingrédients un à un en suivant l'ordre suivant : levure
33  | 7         | 2   | yogurt                                                                                                               | yaourt
34  | 7         | 3   | oil                                                                                                                  | huile
35  | 7         | 4   | sugar                                                                                                                | sucre
36  | 7         | 5   | flour                                                                                                                | farine
37  | 7         | 6   | egg and zest                                                                                                         | oeuf et zeste
38  | 7         | 7   | Put some butter at the bottom of a pan                                                                               | Beurrer un moule à manqué et y verser la pâte
39  | 7         | 8   | In the oven for 30 minutes                                                                                           | Enfourner pour environ 30 minutes de cuisson
